locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building
5300 Andenne,House,Residence,300000,for sale,4.0,169.0,1.0,None,1.0,None,1.0,None,683.0,2.0,0.0,Excellent
3500 Hasselt,Apartment,Apartment,1195000,for sale,3.0,216.0,None,None,1.0,None,0.0,None,None,None,None,None
2840 Rumst,House,Residence,235000,for sale,2.0,68.0,None,0.0,0.0,None,1.0,None,55.0,None,None,None
2450 Meerhout,House,Residence,289000,for sale,3.0,130.0,None,0.0,0.0,None,0.0,None,125.0,3.0,None,Normal
9500 Geraardsbergen,Apartment,Apartment,610000,for sale,4.0,403.0,None,None,None,None,None,None,None,2.0,None,Normal
1030 Schaarbeek,Apartment,Apartment,185000,for sale,1.0,41.0,1.0,0.0,0.0,None,0.0,None,None,2.0,0.0,To renovate
1570 Tollembeek,House,Residence,389000,for sale,3.0,156.0,None,None,0.0,None,1.0,None,331.0,3.0,None,New
6040 Jumet,House,Residence,329000,for sale,3.0,None,None,None,1.0,None,1.0,None,None,2.0,None,Excellent
1090 Jette,Apartment,Apartment,219000,for sale,2.0,85.0,1.0,0.0,1.0,7.0,0.0,None,None,2.0,0.0,Normal
7041 Havay,House,Villa,370000,for sale,3.0,166.0,None,None,1.0,None,1.0,None,1080.0,4.0,None,To be renovated
1170 Watermaal-Bosvoorde,Apartment,Apartment,470000,for sale,3.0,150.0,None,None,1.0,8.0,0.0,None,None,3.0,None,None
8670 Koksijde,Apartment,Apartment,488685,for sale,2.0,101.0,None,None,1.0,8.0,None,None,None,None,None,New
3800 Sint-Truiden,Apartment,Apartment,369314,for sale,2.0,88.0,None,0.0,1.0,13.0,0.0,None,None,2.0,None,New
1640 Sint-Genesius-Rode,House,Villa,1335000,for sale,4.0,345.0,None,None,1.0,50.0,1.0,600.0,861.0,4.0,None,None
5380 Fernelmont,House,Residence,520000,for sale,3.0,205.0,1.0,0.0,1.0,75.0,1.0,4800.0,5233.0,4.0,0.0,Excellent
9890 Gavere,Apartment,Apartment,382500,for sale,3.0,112.0,1.0,0.0,1.0,10.0,None,None,None,4.0,0.0,New
5620 Florennes,House,Residence,399000,for sale,6.0,373.0,None,0.0,1.0,None,1.0,None,None,4.0,None,Normal
7700 Mouscron,House,Residence,219900,for sale,3.0,141.0,None,0.0,0.0,None,0.0,None,460.0,None,None,To be renovated
4030 Grivegnée,Apartment,Apartment,169000,for sale,3.0,135.0,1.0,0.0,1.0,38.0,1.0,96.0,None,3.0,0.0,Excellent
3590 Diepenbeek,House,Residence,377000,for sale,3.0,200.0,None,0.0,1.0,32.0,1.0,None,None,3.0,None,New
1083 Ganshoren,Apartment,Apartment,245000,for sale,2.0,76.0,None,0.0,1.0,2.0,0.0,None,None,2.0,None,None
7712 Herseaux,House,Residence,245000,for sale,3.0,269.0,None,0.0,0.0,None,1.0,120.0,300.0,3.0,None,To be renovated
4683 Vivegnis,House,Residence,325000,for sale,4.0,170.0,1.0,0.0,1.0,30.0,1.0,144.0,228.0,3.0,0.0,Normal
1150 Sint-Pieters-Woluwe,Apartment,Apartment,320000,for sale,1.0,75.0,None,None,1.0,3.0,None,None,None,None,None,To be renovated
4450 Juprelle,House,Residence,298000,for sale,3.0,130.0,None,None,1.0,None,1.0,None,404.0,3.0,None,Normal
2400 Mol,House,Villa,523500,for sale,4.0,241.0,None,0.0,0.0,None,0.0,None,748.0,3.0,None,New
8670 Koksijde,Apartment,Apartment,None,for sale,3.0,79.0,None,1.0,1.0,None,1.0,70.0,None,None,None,To renovate
1020 Laken,House,Mixed Building,820000,for sale,6.0,280.0,1.0,0.0,1.0,2.0,1.0,55.0,192.0,2.0,None,Excellent
3000 Leuven,Apartment,Apartment,360000,for sale,2.0,92.0,None,None,1.0,3.0,0.0,None,None,3.0,None,None
2830 Willebroek,House,Residence,749000,for sale,5.0,370.0,None,0.0,1.0,None,1.0,646.0,1108.0,4.0,None,Normal
3650 Dilsen-Stokkem,Apartment,Apartment,274580,for sale,2.0,99.0,None,None,1.0,16.0,1.0,None,None,None,None,None
9000 Gent,Apartment,Apartment,395000,for sale,3.0,108.0,None,None,1.0,4.0,None,None,None,None,None,Normal
8670 Sint-Idesbald,Apartment,Apartment,425000,for sale,2.0,91.0,None,0.0,1.0,16.0,0.0,None,None,None,None,New
6900 On,Other,Cottage,165000,for sale,3.0,150.0,None,0.0,1.0,None,1.0,None,523.0,None,None,None
1040 Etterbeek,Apartment,Apartment,229000,for sale,1.0,60.0,None,0.0,1.0,5.0,0.0,None,None,2.0,None,Normal
7802 Ormeignies,House,Residence,290000,for sale,3.0,100.0,None,0.0,0.0,None,1.0,None,667.0,3.0,None,Normal
2170 Merksem,Apartment,Apartment,180000,for sale,2.0,85.0,None,None,1.0,2.0,0.0,None,None,4.0,None,None
4624 Romsée,House,Residence,170000,for sale,3.0,None,None,None,0.0,None,0.0,None,132.0,3.0,None,To be renovated
4050 Chaudfontaine,House,Residence,209000,for sale,3.0,110.0,1.0,0.0,1.0,26.0,0.0,None,134.0,2.0,0.0,Fully renovated
